address, latitude, longitude
Aréna Bruno-Verret - Olympique, Quebec, Canada, 52.00017, -71.99907
Aréna Bruno-Verret - Standard, Quebec, Canada, 52.00017, -71.99907
Aréna Roch-Lasalle, Quebec, Canada, 45.9693898, -73.4748818
Aréna de St-Romuald, Quebec, Canada, 46.75818, -71.23921
Beaconsfield Arena, Quebec, Canada, 45.4260026, -73.8665809
Aréna Boisbriand CESR Desjardins, Quebec, Canada, 49.38348, -76.98272
COMPLEXE JC PERREAULT 2 Arena, Quebec, Canada, 52.00017, -71.99907
Colisée Jean-Béliveau (Longueuil) Arena, Quebec, Canada, 52.00017, -71.99907
Forum La Plaine 2 Arena, Quebec, Canada, 52.00017, -71.99907
Kirkland Arena, Quebec, Canada, 45.4495284, -73.8493661
Aréna Complexe Sportif Guimond-3 Laval, Quebec, Canada, 45.56995, -73.692
Aréna Martin St-Louis Laval, Quebec, Canada, 45.5261156, -73.8034731
Aréna Cynthia-Coull Longueuil, Quebec, Canada, 45.492498, -73.4897709
Aréna Olympia de Longueuil Longueuil, Quebec, Canada, 45.53121, -73.51806
Aréna Émile-Butch-Bouchard Longueuil, Quebec, Canada, 45.5371297, -73.4911313
Lévis, Aréna BSR, Quebec, Canada, 52.00017, -71.99907
Aréna St-Janvier (Val d'Espoir) Mirabel, Quebec, Canada, 45.65008, -74.08251
Montréal, Aréna Dorval, Quebec, Canada, 45.4473, -73.75335
Aréna Mont-Royal Montréal, Quebec, Canada, 45.5333317, -73.5717552
Municipal 2 Boisbriand Arena, Quebec, Canada, 52.00017, -71.99907
P. Provencher Arena, Quebec, Canada, 52.00017, -71.99907
PLACE BELL-GL.COMM Arena, Quebec, Canada, 52.00017, -71.99907
ROSEMÈRE 2 Arena, Quebec, Canada, 52.00017, -71.99907
St-Canut (Mirabel) Arena, Quebec, Canada, 52.00017, -71.99907
Aréna Saint-Antoine St-Jérôme, Quebec, Canada, 45.78036, -74.00365
VAL D'ESPOIR 2 MIRABEL Arena, Quebec, Canada, 52.00017, -71.99907
